titulo,estilo,letra
Home,alternativo,"[""Alabama, ArkansasI do love my ma and paNot the way that I do love youWell, holy moly, me oh myYou're the apple of my eyeGirl, I never loved one like you"", ""Man, oh, man, you're my best friendI scream it to the nothingnessThere ain't nothing that I needWell, hot and heavy pumpkin pieChocolate candy, Jesus ChristAin't nothing please me more than you"", ""Oh, home, let me come homeHome is wherever I'm with youOh, home, let me come homeHome is wherever I'm with you"", ""La-la-la-la, take me homeMother, I'm coming home"", 'Da, da, da, da, daDa, da, da, da, da', ""I'll follow you into the parkThrough the jungle, through the darkGirl, I never loved one like youMoats, and boats, and waterfallsAlleyways, and pay phone callsI been everywhere with you"", ""We laugh until we think we'll dieBarefoot on a summer nightNothing new is sweeter than with youAnd in the streets you run a-freeLike it's only you and meJeez, you're something to see"", ""Oh, home, let me come homeHome is whenever I'm with youOh, home, let me come homeHome is wherever I'm with you"", ""Home, let me come homeHome is whenever I'm with youOh, home, let me come homeHome is wherever I'm with you""]"
Sorte Grande (Poeira),axe,"['A minha sorte grande foi você cair do céuMinha paixão verdadeiraViver a emoção, ganhar teu coraçãoPra ser feliz a vida inteira', 'É lindo o teu sorrisoO brilho dos teus olhosMeu anjo querubimDoce dos meus beijosCalor dos meus braçosPerfume de jasmim', 'Chegou no meu espaço, mandando no pedaçoCom o amor que não é brincadeiraPegou, me deu um laço, dançou bem no compassoDe prazer, levantou poeira', 'PoeiraPoeiraPoeiraLevantou poeira', 'A minha sorte grande foi você cair do céuMinha paixão verdadeiraViver a emoção, ganhar teu coraçãoPra ser feliz a vida inteira', 'É lindo o teu sorrisoO brilho dos teus olhosMeu anjo querubimDoce dos meus beijosCalor dos meus braçosPerfume de jasmim', 'Chegou no meu espaço, mandando no pedaçoCom o amor que não é brincadeiraPegou, me deu um laço, dançou bem no compassoDe prazer, levantou poeira', 'PoeiraPoeiraPoeiraLevantou poeira', 'Dun, dun, dun, dunDun, dun, dun, dunDun, dun, dun, dunDun, dun, dun, dun', 'Chegou no meu espaço, mandando no pedaçoCom o amor que não é brincadeiraPegou, me deu um laço, dançou bem no compassoDe prazer, levantou, levantou poeira', 'Poeira (levantou poeira)PoeiraPoeiraLevantou poeira', 'PoeiraPoeira (levantou poeira)Poeira (eu disse)Levantou poeira, levantou poeira', 'PoeiraPoeiraPoeiraLevantou, levantou, levantou poeira']"
Baby Can I Hold You?,blues,"[""SorryIs all that you can't say?Years gone by and stillWords don't come easilyLike sorryLike sorry"", ""Forgive meIs all that you can't say?Years gone by and stillWords don't come easilyLike forgive meForgive me"", ""But you can say: BabyBaby, can I hold you tonight?Maybe if I told you the right wordsAt the right timeYou'd be mine"", ""I love youIs all that you can't say?Years gone by and stillWords don't come easilyLike I love youI love you"", ""But you can say: BabyBaby, can I hold you tonight?Maybe if I told you the right wordsAt the right timeYou'd be mine"", ""Baby, can I hold you tonight?Maybe if I told you the right wordsAt the right timeYou'd be mineYou'd be mineYou'd be mine""]"
Guantanamera,bolero,"['GuantanameraGuajira GuantanameraGuantanameraGuajira Guantanamera', 'Yo soy un hombre sinceroDe donde crece la palmaYo soy un hombre sinceroDe donde crece la palma', 'Y antes de morir yo quieroEchar mis versos del almaY antes de morir yo quieroEchar mis versos del alma', 'GuantanameraGuajira GuantanameraGuantanameraGuajira Guantanamera', 'No me pongan en lo oscuroA morir como un traidorNo me pongan en lo oscuroA morir como un traidor', 'Yo soy bueno y como buenoMoriré de cara al solYo soy bueno y como buenoMoriré de cara al sol', 'GuantanameraGuajira GuantanameraGuantanameraGuajira Guantanamera', 'Con los pobres de la tierraQuiero yo mi suerte echarCon los pobres de la tierraQuiero yo mi suerte echar', 'El arroyo de la sierraMe complace más que el marEl arroyo de la sierraMe complace más que el mar', 'GuantanameraGuajira GuantanameraGuantanameraGuajira Guantanamera', 'Tiene el leopardo un abrigoEn su monte seco y pardoTiene el leopardo un abrigoEn su monte seco y pardoYo tengo más que el leopardoPorque tengo un buen amigo', 'GuantanameraGuajira GuantanameraGuantanameraGuajira Guantanamera', 'GuantanameraGuajira GuantanameraGuantanameraGuajira Guantanamera']"
Onde Anda Você (part. Toquinho),bossa-nova,"['E por falar em saudadeOnde anda você?Onde andam os seus olhosQue a gente não vê?Onde anda esse corpoQue me deixou mortoDe tanto prazer?', 'E por falar em belezaOnde anda a cançãoQue se ouvia na noiteDos bares de entãoOnde a gente ficavaOnde a gente se amavaEm total solidão?', 'Hoje eu saio na noite vaziaNuma boemia sem razão de serNa rotina dos baresQue apesar dos pesaresMe trazem você', 'E por falar em paixãoEm razão de viverVocê bem que podia me aparecerNesses mesmos lugaresNa noite, nos baresOnde anda você?', 'Hoje eu saio na noite vaziaNuma boemia sem razão de serNa rotina dos baresQue apesar dos pesaresMe trazem você', 'E por falar em paixãoEm razão de viverVocê bem que podia me aparecerNesses mesmos lugaresNa noite, nos baresOnde anda você?']"
Toca o Trompete,brega,"['Perdida no baileCom a pura maldadePai dela nem sonhaMãe dela nem sabeQue a filha é bandidaQue faz sacanagemSaiu com as amigasSó chega mais tardeSó chega mais tarde', 'O que, que ela quer?O que, que ela quer?O que, que ela quer?O que, que ela quer?', 'Novinha quer sentar pros criaPede putaria, então vou te dar', 'Uh, uhBalançou', 'Gostosa, toda delicinhaAmanheceu o dia e ela só quer sentarSe é isso que tu querEu vou te dar vai, vai, vai', 'SentaEla pede pro cria dar tapa na rabaNa hora que ela querSentaToma, toma, toma, toma, toma, tomaSentaEla pede pro cria dar tapa na rabaNa hora que ela querSentaToma, toma, toma, toma, toma', 'Toca o trompete, vai Caio Djay', 'Felipe AmorimEssa mina quer sentar', 'Perdida no baileCom a pura maldadePai dela nem sonhaMãe dela nem sabeQue a filha é bandidaQue faz sacanagemSaiu com as amigasSó chega mais tardeSó chega mais tarde', 'O que, que ela quer?O que, que ela quer?', 'Novinha quer sentar pros criaPede putaria, então vou te dar', 'Gostosa, toda delicinhaAmanheceu o dia e ela só quer sentar', '(Ela pede, ela pede)(Ela pede pro cria dar tapa na raba)', 'SentaEla pede pro cria dar tapa na rabaNa hora que ela querSentaEla toma, toma, toma, toma, tomaSentaEla pede pro cria dar tapa na rabaNa hora que ela querSenta(Tapa na raba, tapa na)(Tapa na raba, tapa na raba)Toma, toma(Tapa na, tapa na, tapa na raba)']"
Amazing Grace,classico,"[""Amazing grace, how sweet the soundThat saved a wretch like meI once was lost, but now I'm foundWas blind, but now I see"", ""'Twas grace that taught my heart to fearAnd grace my fears relievedHow precious did that grace appearThe hour I first believed"", ""Through many dangers, toils and snaresI have already come'Tis grace that brought me safe thus farAnd grace will lead me home"", ""When we've been here ten thousand yearsBright shining as the SunWe've no less days to sing God's praiseThan when we've first begun"", ""Amazing grace, how sweet the soundThat saved a wretch like meI once was lost, but now I'm foundWas blind, but now I see""]"
Intocable,corridos,[]
John Denver,country,[]
Ya No Vuelvas (part. Luck Ra y Ke Personajes),cuarteto,"['Este tema va dedicado para todosLos que alguna vez sufrimos del corazón rotoY dice', 'Miénteme otra vez, una, dos o tresLastímame de vuelta, que me acostumbréQue haré como que te olvidéComo que lo superé', 'Arriba las palmas', 'Rómpeme el corazón sin sentido y razónAunque sepas lo que sufro en mi habitaciónQue haré como que no me dolióComo que nunca pasó', 'Porque, en realidad, no sabes lo que dueleDarlo todo por alguien que no te quiereDevuelve todo el tiempo que perdíEl que, con tanto amor, te compartí', ""Porque no sabes lo mucho que yo queríaQue pasara' los años a la par míaDevuelve todo el tiempo que perdíEl que, con tanto amor, te compartí"", 'Ya no vuelvasNo quiero lastimarme de vueltaDe perdonarte, perdí la cuentaY si sueñas conmigo, pedime perdón', 'Ya no vuelvasNo quiero lastimarme de vueltaDe perdonarte, perdí la cuentaY si sueñas conmigo, pedime perdón, eh-eh', 'Ey, como siempreLuck Ra, La Konga y Ke PersonajesLas manitos arriba', 'Porque, en realidad, no sabes lo que dueleDarlo todo por alguien que no te quiereDevuelve todo el tiempo que perdíEl que, con tanto amor, te compartí', ""Porque no sabes lo mucho que yo queríaQue pasara' los años a la par míaDevuelve todo el tiempo que perdíEl que, con tanto amor, te compartí"", 'Ya no vuelvasNo quiero lastimarme de vueltaDe perdonarte, perdí la cuentaY si sueñas conmigo, pedime perdón', 'Ya no vuelvasNo quiero lastimarme de vueltaDe perdonarte, perdí la cuentaY si sueñas conmigo, pedime perdón', 'Miénteme otra vez, al igual que ayerY ni en tus sueños te perdonaré', 'Ya no vuelvasNo quiero lastimarme de vueltaDe perdonarte, perdí la cuentaY si sueñas conmigo, pedime perdón', 'Ya no vuelvasNo quiero lastimarme de vueltaDe perdonarte, perdí la cuentaY si sueñas conmigo, pedime perdón']"
