titulo,estilo,letra
Home,alternativo,"[""Alabama, ArkansasI do love my ma and paNot the way that I do love youWell, holy moly, me oh myYou're the apple of my eyeGirl, I never loved one like you"", ""Man, oh, man, you're my best friendI scream it to the nothingnessThere ain't nothing that I needWell, hot and heavy pumpkin pieChocolate candy, Jesus ChristAin't nothing please me more than you"", ""Oh, home, let me come homeHome is wherever I'm with youOh, home, let me come homeHome is wherever I'm with you"", ""La-la-la-la, take me homeMother, I'm coming home"", 'Da, da, da, da, daDa, da, da, da, da', ""I'll follow you into the parkThrough the jungle, through the darkGirl, I never loved one like youMoats, and boats, and waterfallsAlleyways, and pay phone callsI been everywhere with you"", ""We laugh until we think we'll dieBarefoot on a summer nightNothing new is sweeter than with youAnd in the streets you run a-freeLike it's only you and meJeez, you're something to see"", ""Oh, home, let me come homeHome is whenever I'm with youOh, home, let me come homeHome is wherever I'm with you"", ""Home, let me come homeHome is whenever I'm with youOh, home, let me come homeHome is wherever I'm with you""]"
Sorte Grande (Poeira),axe,"['My great luck was you fall from the true passion true Viver the emotion, to win your heart to be happy all your life', 'Your smile brightness of your eyes Angel cherubimdoce of my kissescalor of my jasmine arms,' arrivedIn my space, sending the love that is not played in the pedaçocom, gave me a bond, danced well in the compass of pleasure, raised dust ',' dustapoeira.Your heart to be happy all your life ',' your smile is beautiful brightness of your eyes you have a cherubimdoce of my kissescalor of my jasmine arms perhaps ',' arrived in my space, sending the love that is not played, gave me a oneLaço, danced well in the compass of pleasure, raised dust ',' PoepoeiraPoeira was dust ',' Dun, Dun, Dun, Dundun, Dun, Dun, Dundun, Dun, Dun, Dundun, Dun, Dun, Dun ',', sending the love that is not played in the pedaçocom, it gave me a bond, danced well in the compass of pleasure, raised, raised dust ',' dust) dusty dust ',' dust (raised dust) dustDust, raised dust ',' PoepoeiraPoeira has Ventantou, raised, raised dust ']"
Baby Can I Hold You?,blues,"[""SorryIs all that you can't say?Years gone by and stillWords don't come easilyLike sorryLike sorry"", ""Forgive meIs all that you can't say?Years gone by and stillWords don't come easilyLike forgive meForgive me"", ""But you can say: BabyBaby, can I hold you tonight?Maybe if I told you the right wordsAt the right timeYou'd be mine"", ""I love youIs all that you can't say?Years gone by and stillWords don't come easilyLike I love youI love you"", ""But you can say: BabyBaby, can I hold you tonight?Maybe if I told you the right wordsAt the right timeYou'd be mine"", ""Baby, can I hold you tonight?Maybe if I told you the right wordsAt the right timeYou'd be mineYou'd be mineYou'd be mine""]"
Guantanamera,bolero,"['Guantanameraguajira Guantanameraguantanameraguajira Guantanamera', 'I am a honest man where the palmayo grows I am a honest man where the palm grows',' and before I die I want to do my verses of the alma before I die I want to do my verses of the soul ','Guantanameraguajira Guantanameraguantanameraguajira Guantanamera ',' Do not put me in the dark to die like a traitorous put me in the dark to die like a traitor ',' I am good and as a goodomorir I will face the SolyGuantanameraguajira Guantanameraguantanameraguajira Guantanamera ',' With the poor of Earth I want my luck to throw the poor of the earth I want my luck to throw ',' The stream of the Sierrame pleases more than the Marel Arroyo de la Sierrame pleases more than the sea ','Guantanameraguajira Guantanameraguantanameraguajira Guantanamera ',' He has the leopard a coat in his dry mountain and brown the leopard a coat in his dry mountain and browno I have more than the leopard for I have a good friend ',' Guantanameraguajira Guantanameraguantanameraguajira Guantanamera ' GUANTANAMERA 'AMERAGUIRA']"
Onde Anda Você (part. Toquinho),bossa-nova,"['And speaking of longing for you are you? Where are your eyes to see that we don't see? Where is this busta left me so much pleasure?', 'And speaking of beauty where did the song go on the nights of bars thenWas we loved each other, ',' Today I left the empty bohemia at night without reason of being routine of the barsque despite the pesaresme bring you ',' and speaking of passion.In the baresonde you are you? ',' Today I go out in the evening empty bohemia without reason to be routine of the barsque despite the pesaresme bring you ',' and speaking of passion for reason to live well that I could appear to me same places in the night, in the baresndo walksyou?']"
Toca o Trompete,brega,"['Lost at Bailecom her pure evil of her neither dreamed her or know her daughter is bandit that she slutty with her friendship arrives later later', 'What, what she wants? What, what she wants? What, what, what, whatShe wants? What, what she wants? ',' Young girl wants to sit down the creede bitching, so I'll give you ',' uh, uhbalan, 'hot, all deliciously managed the day and she just wants to sit down that's what you wanted to goGive you go, go, go ',' Sentaela asks for the creation to slap the rabana time she loves, take, take, take, take, Tomasentaela asks the creation to slap the rabana time she love, take, take, take,Toma ',' Plays the trumpet, go Caio Djay ',' Felipe Amoirimsa Mina wants to sit ',' Lost at Bailecom her purepai mad of her or dreamed her or know that her daughter is bandit that boundar is slutty with her friends arrives later later ', 'What, what does she want? What, what, what she wants?', 'Young girl wants to sit down the bitching crepe, so I'll give you', 'hot, all delights the day and she just wants to sit', '(she asks, she asks) (she asks her to slap the tail) ',' Sentaela asks for a breeding to slap in the rabana time she calls, takes, takes, takes, tomasiela asks for the creation to slap in the rabana time she wants (Slap in the tail, slap na) (slap in the tail, slap in the tail) take, take (slap na, slap in the tail) ']"
Amazing Grace,classico,"[""Amazing grace, how sweet the soundThat saved a wretch like meI once was lost, but now I'm foundWas blind, but now I see"", ""'Twas grace that taught my heart to fearAnd grace my fears relievedHow precious did that grace appearThe hour I first believed"", ""Through many dangers, toils and snaresI have already come'Tis grace that brought me safe thus farAnd grace will lead me home"", ""When we've been here ten thousand yearsBright shining as the SunWe've no less days to sing God's praiseThan when we've first begun"", ""Amazing grace, how sweet the soundThat saved a wretch like meI once was lost, but now I'm foundWas blind, but now I see""]"
Ya No Vuelvas (part. Luck Ra y Ke Personajes),cuarteto,"['This topic is dedicated to all that we once suffered from the broken heart says', 'Like me again, one, two or three times back, that I will get used to it as I forgot to you that I overcome it', 'Above Las Palmas','Rompe my heart without meaning and reason what you know what I suffer in my room that I will do as I did not hurt that it never happened', 'because, in reality, you do not know what hurts everything for someone who does not want to take you all the time that I lost to be, with so much love, I shared ', ""Because you don't know how much I wanted to spend' the years at the time of Miaderavuelve all the time I lost that, with so much love, I shared"", 'I no longer come back I want to hurt myself to forgive you, I lost my account if you dream with me, I ask forgiveness ',' I don't come back to hurt myUp ',' because, in reality, you don't know what hurts everything for someone who does not want to take you all the time that I lost that, with so much love, I shared you ', ""Because you don't know how much I wanted to spend' the years toThe par Míadevuelve all the time that I lost that, with so much love, I shared "", 'I no longer return to hurt myThe account if you dream with me, I ask forgiveness ',' Like me again, just like yesterday or in your dreams I will forgive you ',' I no longer come back I want to hurt myI don't come back, I want to hurt myself to forgive you, I lost my account if you dream of me, I ask forgiveness']]"
Si Supieras (part. ECKO),cumbia,"['Ayla T and the m, Ecko, e-e-e-echole we send cumbia dog, ja', 'mami I am crazy about having temami I am crazy to kiss youThat is that I am looking for Squad's Polilogo already carries it in the Hoodie (Squad) with me is that you live the movie ',' Mamacita if you knew that I suck me, I remember, it has me getting velasfuming drowning the sorrowsi knew that there is no way there is no way ','Aaaay, this is the T and the My I still have the video, that the ugly ones die when I took that trophode ass when we recorded and piola we passed it that we are nothing, but we always stop', 'like Jhayco and BadIn bed we kill me location whenever you want to the fool of your former tell what we fight what you want as you want we try ',' Mamacita if you knew that I suck me, I remember it, it has me getting velasfuming drowning the sorrows of you knew that there is no way there is no way', ""I have you in my mind mommy I can not get you to call you to go out to look for stalkearte and from the networks you blocked me the photos that I had erased that I am going to dancing, for forgetting the songs that you dedicated me"", ""So II'm going to forget the songs that you dedicated to me, I was still sitting in the corner, thinking how I was so gilte you looked for a new one and it seems to me that it was easy but it is not like that as long as you want to come back and I will not be there anymore "", 'andI still sit on the corner thinking how I was so gilte you looked for a new one and it seems to me.I am crazy about having atemami I am crazy to kiss youand the mjuani pe in the controls, we send cumbia, dog, ja ']"
Dubidubidu,dance,"['If you want to dance, play, paint and singu you can come to my Casala Idea is to share you are funny you want to come to my house', 'I want to invite all my friends and friends to jump and dance what I have,Share with you ',' chipi, chipi, sheet, chapadubi, dubi, gave, dabamágico, my dubi, dubibum, bum, bum, bum, bum ',' chipi, chipi, sheet, Dubibum ',' If you want to sing, I'm going to teach youIt does not cry) and in my notebook, a song that we are all going to sing now ',' Chipi, chipi, sheet, chapadubi, dubi, gave, dabamágico, my dubi, dubibum, bum, bum, bum, bum ',' chipi, chipi, Chapa, Chapadubi, Dubi, Dabamágico, my Dubi, Dubibum ',' Chipi, Chipi, Chapa, Chapadubi, Dubi, Daba, Dabamágico, My Dubi, Dubibum, Bum, Bum, Bum, Bum ',' Chipi, Chipi, Chapa, Chapadubi, Dubi, gave, DabamágicPlaying at my house all my friends and friends who jump and dance what I have, share with you ',' If you want to sing, I'm going to teach you',' I have a gift doll if you give it a bottle, it does not cry (it does not cry) that in my notebook, a song that we are all to sing ',' Chipi, chipi, sheet, chapadubi, dubi, gave, dabamágico, my dubi, dubibum, bum, bum, bum, bum ',' chipi, chipi, sheet, chapadubi, dubi, gave, dabamágico, my dubi, dubibum ',' chipi, chipi, sheet, dubibum, bum, bum, bum, bum ',' chipi, chipi, sheet, chapadubi, dubi, gave, dabamágico, my dubi, dubibum ',' chipi, chipi, sheet, Dubibum, Bum, Bum, Bum, Bum ',' Chipi, Chipi, Chapa, Chapadubi, Dubi, Dabamágico, my Dubi, Dubibum ']"
