palavra,quant,titulo,estilo
"[""Alabama",1,Home,alternativo
ArkansasI,1,Home,alternativo
love,2,Home,alternativo
paNot,1,Home,alternativo
that,2,Home,alternativo
youWell,1,Home,alternativo
holy,1,Home,alternativo
moly,1,Home,alternativo
myYou're,1,Home,alternativo
apple,1,Home,alternativo
eyeGirl,1,Home,alternativo
never,2,Home,alternativo
loved,2,Home,alternativo
like,2,Home,alternativo
"you""",5,Home,alternativo
"""Man",1,Home,alternativo
you're,2,Home,alternativo
best,1,Home,alternativo
friendI,1,Home,alternativo
scream,1,Home,alternativo
nothingnessThere,1,Home,alternativo
ain't,1,Home,alternativo
nothing,2,Home,alternativo
needWell,1,Home,alternativo
heavy,1,Home,alternativo
pumpkin,1,Home,alternativo
pieChocolate,1,Home,alternativo
candy,1,Home,alternativo
Jesus,1,Home,alternativo
ChristAin't,1,Home,alternativo
please,1,Home,alternativo
more,1,Home,alternativo
than,2,Home,alternativo
home,5,Home,alternativo
come,6,Home,alternativo
homeHome,6,Home,alternativo
wherever,4,Home,alternativo
with,8,Home,alternativo
youOh,3,Home,alternativo
"""La-la-la-la",1,Home,alternativo
take,1,Home,alternativo
homeMother,1,Home,alternativo
coming,1,Home,alternativo
"home""",1,Home,alternativo
daDa,1,Home,alternativo
"""I'll",1,Home,alternativo
follow,1,Home,alternativo
into,1,Home,alternativo
parkThrough,1,Home,alternativo
jungle,1,Home,alternativo
through,1,Home,alternativo
darkGirl,1,Home,alternativo
youMoats,1,Home,alternativo
boats,1,Home,alternativo
waterfallsAlleyways,1,Home,alternativo
phone,1,Home,alternativo
callsI,1,Home,alternativo
been,1,Home,alternativo
everywhere,1,Home,alternativo
laugh,1,Home,alternativo
until,1,Home,alternativo
think,1,Home,alternativo
we'll,1,Home,alternativo
dieBarefoot,1,Home,alternativo
summer,1,Home,alternativo
nightNothing,1,Home,alternativo
sweeter,1,Home,alternativo
youAnd,1,Home,alternativo
streets,1,Home,alternativo
a-freeLike,1,Home,alternativo
it's,1,Home,alternativo
only,1,Home,alternativo
meJeez,1,Home,alternativo
